"Table 1b: Estimated Census Day population from the 2011 Census by sex, five year age group and administrative area",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Persons
Persons,All Ages,,Age group,,,,,,,,,,,,,,,,,,,,Area
,,,0 - 4, 5 - 9, 10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
SCOTLAND,5295403,,292821,269617,291615,330826,363940,345632,321695,340056,394698,410929,375827,330891,336522,261198,220594,178114,124525,71507,34396,,SCOTLAND
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,222793,,11512,9172,9401,14692,23207,21216,17037,14742,14831,15405,14302,12791,12454,8526,7716,6694,4986,2792,1317,,Aberdeen City
Aberdeenshire,252973,,15138,14008,15146,15293,13154,13194,14564,17420,20068,20658,18757,17382,17528,12615,9956,7772,5429,3325,1566,,Aberdeenshire
Angus,115978,,5967,6096,6802,6890,5983,6040,5983,6911,8306,9089,8324,7790,8736,6694,5587,4582,3293,1963,942,,Angus
Argyll & Bute,88166,,4107,4312,4919,5098,4438,4164,3857,4791,6209,6886,6530,6328,7191,5913,4848,3692,2551,1534,798,,Argyll & Bute
Clackmannanshire,51442,,2927,2708,3060,3234,2856,2932,3029,3460,4223,4180,3724,3326,3571,2759,2115,1491,1034,566,247,,Clackmannanshire
Dumfries & Galloway,151324,,7660,7378,8270,8747,7692,7375,6745,8163,10610,11995,11180,10787,11672,9843,8154,6622,4635,2582,1214,,Dumfries & Galloway
Dundee City,147268,,7791,6855,7390,10796,15337,11733,8877,8042,9255,10196,9873,7994,8532,6367,5985,5229,3790,2249,977,,Dundee City
East Ayrshire,122767,,6762,6394,6926,7717,7514,6986,6638,7892,9682,9787,8901,7913,8348,6522,5393,4297,2807,1519,769,,East Ayrshire
East Dunbartonshire,105026,,5152,5680,6388,6973,5950,4332,4501,5849,7865,8878,8408,7293,7329,5797,5180,4273,2927,1579,672,,East Dunbartonshire
East Lothian,99717,,5925,5541,5898,6454,5292,4805,5013,6465,8009,8239,7581,6301,6431,5198,4297,3535,2526,1483,724,,East Lothian
East Renfrewshire,90574,,4984,5558,6131,6094,5085,3528,4084,5268,6989,7657,7167,6057,5692,4451,3914,3360,2400,1444,711,,East Renfrewshire
"Edinburgh, City of",476626,,26163,20494,21062,28529,47822,45324,38533,34095,32781,32917,29894,25464,25061,18127,15954,13783,10745,6579,3299,,"Edinburgh, City of"
Eilean Siar,27684,,1354,1413,1529,1586,1228,1258,1377,1636,2055,2098,2035,1972,2174,1700,1497,1147,840,539,246,,Eilean Siar
Falkirk,155990,,9339,8411,8848,9321,8802,9310,9793,11261,12598,12429,11045,9473,10064,7551,6500,5060,3397,1925,863,,Falkirk
Fife,365198,,20775,19156,20186,22664,24141,20802,20787,23035,27445,28007,26152,22981,24996,19529,15652,12425,8730,5188,2547,,Fife
Glasgow City,593245,,32973,27059,29317,39358,56642,55044,46139,40069,43058,43499,38336,31236,28350,22139,20271,17346,12051,7022,3336,,Glasgow City
Highland,232132,,12705,12408,13432,13250,11571,12837,12537,13909,16879,18498,17490,16612,16964,13274,10589,8376,5785,3378,1638,,Highland
Inverclyde,81485,,4204,4012,4498,5095,4999,4726,4292,4845,6140,6916,6287,5315,5380,4281,3635,3017,2086,1159,598,,Inverclyde
Midlothian,83187,,4878,4681,5047,5161,4766,4457,4708,5304,6420,6505,6128,5436,5793,4335,3495,2774,1829,998,472,,Midlothian
Moray,93295,,5246,4887,5638,5917,5011,5326,5059,5744,7031,7225,6596,6010,6383,5105,4276,3510,2375,1292,664,,Moray
North Ayrshire,138146,,7420,7230,8010,8777,7946,7287,7091,8239,10176,10824,10029,9304,9915,7973,6610,5102,3341,1897,975,,North Ayrshire
North Lanarkshire,337727,,20549,19474,20553,21375,21041,21790,21457,23199,26753,26900,23594,20490,20169,15681,13245,10104,6604,3299,1450,,North Lanarkshire
Orkney Islands,21349,,1107,1004,1205,1306,1133,1048,1065,1216,1589,1712,1611,1528,1606,1346,1092,733,569,305,174,,Orkney Islands
Perth & Kinross,146652,,7317,7307,8704,8681,7515,8063,7570,8382,10692,11691,10546,10000,10621,8452,7180,5799,4375,2547,1210,,Perth & Kinross
Renfrewshire,174908,,9636,9078,9904,10791,11018,10699,10130,10925,13691,14392,13180,10964,11021,8678,7469,5942,4037,2232,1121,,Renfrewshire
Scottish Borders,113870,,5712,5905,6335,6409,5272,5029,5081,6734,8680,9248,8723,7986,8937,7051,5900,4568,3331,2004,965,,Scottish Borders
Shetland Islands,23167,,1389,1326,1450,1451,1295,1253,1403,1533,1670,1841,1629,1593,1557,1230,913,687,491,296,160,,Shetland Islands
South Ayrshire,112799,,5512,5412,6207,6433,6150,5549,5384,6421,7932,8776,8501,7855,8407,7155,5882,4848,3307,2070,998,,South Ayrshire
South Lanarkshire,313830,,17401,16486,17935,19226,17620,18168,18411,20758,24706,25467,23860,21051,19798,15902,13317,10633,7304,3936,1851,,South Lanarkshire
Stirling,90247,,4415,4790,5598,6615,7235,4842,4521,5341,6704,7136,6287,5418,5812,4616,3925,3096,2065,1203,628,,Stirling
West Dunbartonshire,90720,,5236,4660,4978,5814,5834,5743,5157,5519,6922,7394,6904,5971,5672,4354,3708,3047,2076,1123,608,,West Dunbartonshire
West Lothian,175118,,11565,10722,10848,11079,10391,10772,10872,12888,14729,14484,12253,10270,10358,8034,6339,4570,2809,1479,656,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,373712,,19694,19036,21143,22927,21610,19822,19113,22552,27790,29387,27431,25072,26670,21650,17885,14247,9455,5486,2742,,Ayrshire & Arran
Borders,113870,,5712,5905,6335,6409,5272,5029,5081,6734,8680,9248,8723,7986,8937,7051,5900,4568,3331,2004,965,,Borders
Dumfries & Galloway,151324,,7660,7378,8270,8747,7692,7375,6745,8163,10610,11995,11180,10787,11672,9843,8154,6622,4635,2582,1214,,Dumfries & Galloway
Fife,365198,,20775,19156,20186,22664,24141,20802,20787,23035,27445,28007,26152,22981,24996,19529,15652,12425,8730,5188,2547,,Fife
Forth Valley,297636,,16683,15909,17510,19163,18895,17082,17347,20059,23519,23739,21054,18202,19431,14922,12540,9646,6492,3703,1740,,Forth Valley
Grampian,569061,,31896,28067,30185,35902,41372,39736,36660,37906,41930,43288,39655,36183,36365,26246,21948,17976,12790,7409,3547,,Grampian
Greater Glasgow & Clyde,1213408,,66928,60306,65597,78633,93763,88762,79593,78196,90830,94786,85922,71967,68200,53265,47147,39381,27222,15438,7472,,Greater Glasgow & Clyde
